"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000082929.8",8.96176472612287,1.24105430258857,0.238351757273365,5.2068183460683,1.92105985955253e-07,6.10507465647443e-07
"ENSG00000083622.8",0.349330913845711,0.927069851919053,0.712711054360277,1.3007653610076,0.193338781975999,0.247183917699846
"ENSG00000093100.13",7.11790137805534,-1.26155110645905,0.138416404715532,-9.1141733456503,7.92724893476469e-20,6.81520391156305e-19
"ENSG00000099869.8",10.6869578840172,-0.413954383891986,0.187986205918044,-2.20204659097411,0.0276620175653381,0.0434869037979113
"ENSG00000103472.10",5.41029976567559,0.692287618419694,0.144507986856767,4.79065298380963,1.66239417842038e-06,4.73069886201914e-06
"ENSG00000115934.11",0.179470975239317,0.571379142716636,0.732172065883045,0.780389158971146,0.43516184705387,NA
"ENSG00000116652.6",17.6056028001356,-0.370713027956391,0.120015330550867,-3.08888061429177,0.00200912157116138,0.00383295241853518
"ENSG00000117242.7",227.671997445355,0.0309059868929324,0.0624112746524024,0.495198777225145,0.620459813678624,0.672167065343422
"ENSG00000120664.11",16.2883013692553,-1.01323185914933,0.112031005853461,-9.04420924752439,1.5075229465152e-19,1.26926446705344e-18
"ENSG00000122043.11",1.85727814403516,1.17528498409324,0.223424366821596,5.26032590273248,1.43800300208369e-07,4.64123580557305e-07
"ENSG00000122548.5",7.09273961746053,-0.821570028894573,0.187679236271998,-4.37752223002386,1.20036121372703e-05,3.10624651265852e-05
"ENSG00000124835.2",1.66341142040185,0.833461910740309,0.314347857021194,2.65140000838026,0.00801588441111385,0.0139117094835247
"ENSG00000124915.10",0.248137639754476,0.39850317880409,0.456211347837398,0.873505625612197,0.382387541275485,0.446550536737031
"ENSG00000125462.19",72.3697520652639,0.41927560788477,0.137487034786077,3.04956469922522,0.00229173264949493,0.00433154866532315
"ENSG00000125514.9",0.297955850625263,0.373211355924971,0.537378199725697,0.694504086908392,0.487366138707306,0.54828690604572
"ENSG00000125804.14",6.76070305490762,0.00823909295396147,0.155125423031538,0.0531124608265302,0.957642303163504,0.965324117875138
"ENSG00000125899.8",2.31452996948617,-1.27937125537406,0.187325868272886,-6.8296560809762,8.51184431593931e-12,4.05708112981638e-11
"ENSG00000128254.16",19.1144425202128,0.291329927126642,0.0767159071073485,3.79751655310526,0.000146153019519658,0.000328514460123925
"ENSG00000129816.5",0,NA,NA,NA,NA,NA
"ENSG00000129845.5",0.00118191274601129,0.198027339036786,4.98763341322091,0.0397036675774661,0.968329377680251,NA
"ENSG00000130600.19",1868.14325421553,-0.21256576613792,0.14316408893046,-1.48477015238906,0.137604721071461,0.183554869000681
"ENSG00000131007.9",0.0118189217810759,0.226632752052425,3.21806547542876,0.0704251525591566,0.943855272099825,NA
"ENSG00000131484.4",1.13592232313735,0.159324394523584,0.182502918272713,0.872996421270954,0.382665028352304,0.446835776919242
"ENSG00000131538.7",0,NA,NA,NA,NA,NA
"ENSG00000131548.7",0,NA,NA,NA,NA,NA
"ENSG00000132204.14",10.5554534047607,1.01896644220403,0.332102660512668,3.06822727836943,0.00215332777463176,0.0040866118924063
"ENSG00000132832.10",1.10637386808364,0.511797997284828,0.215292343319534,2.37722340420265,0.0174435198020928,0.0284332121783173
"ENSG00000136275.10",0.49092587548948,-1.18720837971087,0.257218975673024,-4.61555519613003,3.92045823629547e-06,1.07492825133012e-05
"ENSG00000136315.4",1.07898463755088,-0.121547839871492,0.217692206405351,-0.558347227392997,0.576607301327123,0.631562542655955
"ENSG00000137808.12",0.000644444660563623,0.195430292862032,4.98763341322091,0.0391829704933801,0.968744510787238,NA
"ENSG00000145063.15",43.0402232139955,2.6291698276826,0.200703064382191,13.0997991275109,3.30130218844115e-39,7.94084243752768e-38
"ENSG00000145075.13",0.106143656997453,-1.33213322530013,0.703740016193954,-1.89293374633537,0.0583666807900496,NA
"ENSG00000146521.10",37.8375687003295,-1.12045605321178,0.143308847712627,-7.81847088365821,5.3468849437526e-15,3.26643411875045e-14
"ENSG00000146666.5",7.27083266311387,0.397475119869478,0.166848460073896,2.38225225269349,0.0172071059680269,0.028088715168883
